Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-02-26,104.751,109.88,104.751,108.598,7739494.9548585
1998-02-27,109.15,110.967,108.046,108.403,3200915.591955
1998-03-02,110.78,116.025,110.78,115.66,24999523.401075
1998-03-03,115.481,116.025,112.062,113.309,8382522.0518915
1998-03-04,113.487,115.294,113.487,114.573,7463340.6534752
1998-03-05,110.611,117.86,110.611,117.129,11475871.557553
1998-03-06,117.129,121.52,116.025,119.062,4965239.0443162
1998-03-09,122.249,125.162,116.755,123.336,3126485.4615057
1998-03-10,125.162,127.325,123.265,125.162,5318189.5280318
1998-03-11,123.692,124.423,118.59,120.78,2186107.2926368
1998-03-12,119.328,122.249,118.233,120.78,3354963.873594
1998-03-13,121.52,122.249,119.694,122.249,3053669.0076371
1998-03-16,122.249,124.423,121.315,122.962,4997830.3702774
1998-03-17,122.062,123.336,120.041,122.053,3807477.191695
1998-03-18,120.958,121.885,118.59,120.041,13124165.262946
1998-03-19,120.424,120.451,118.955,119.507,765438.55869115
1998-03-20,120.424,122.249,114.939,115.606,5494997.7240345
1998-03-23,114.208,115.856,109.88,115.126,4230644.5041681
1998-03-24,112.419,115.66,110.611,114.208,3347692.7839203
1998-03-25,114.208,117.129,114.208,115.66,4086342.2900625
1998-03-26,114.208,114.386,112.062,113.701,3435687.0058242
1998-03-27,113.122,122.962,113.122,120.424,4440333.7467708
1998-03-30,118.233,120.424,116.39,117.307,1518133.9010708
1998-03-31,117.129,117.86,115.66,116.942,2088892.5429629
1998-04-01,118.233,121.52,116.755,120.78,4103633.4466331
1998-04-02,119.694,121.885,117.86,121.154,5908246.0349497
1998-04-03,121.885,122.249,119.694,121.154,3281130.0286452
1998-04-06,119.328,123.692,119.328,120.451,3179212.3718588
1998-04-07,119.694,121.885,117.494,118.777,3908005.761543
1998-04-08,116.577,118.955,116.39,117.539,1749522.994925
1998-04-09,116.221,120.78,116.221,120.78,1049470.3417826
1998-04-14,118.955,121.52,116.577,117.86,3199883.6025481
1998-04-15,119.133,122.249,119.133,120.593,5639759.2239589
1998-04-16,120.424,121.154,119.863,120.166,3676232.6194003
1998-04-17,120.228,125.162,119.863,124.423,7129288.2652218
1998-04-20,125.162,126.961,123.532,123.692,4837801.2664605
1998-04-21,122.962,122.962,120.78,121.243,5252379.1480589
1998-04-22,122.249,125.874,121.885,124.343,3088110.9522519
1998-04-23,122.249,124.423,121.698,123.692,3049944.1884174
1998-04-24,123.692,128.786,120.78,126.961,5087552.8094798
1998-04-27,128.786,134.583,125.162,125.705,8012462.3292156
1998-04-28,125.705,126.586,124.778,125.509,4998832.0400826
1998-04-29,125.509,126.586,124.423,125.162,1106192.7018746
1998-04-30,125.162,126.586,122.597,124.61,3964016.1724685
1998-05-01,124.974,128.786,124.423,124.423,2954803.5240914
1998-05-05,128.786,128.786,125.874,126.586,3468163.7910677
1998-05-06,124.066,126.586,123.692,124.974,6894267.5568495
1998-05-07,125.162,127.325,124.778,124.93,3179760.3705864
1998-05-08,127.325,132.054,125.874,130.228,3972949.2254962
1998-05-11,128.946,136.4,128.946,135.678,1385925.83921
1998-05-12,132.054,133.158,128.786,130.041,3998004.4460056
1998-05-13,129.499,130.228,126.586,127.139,3812163.2545843
