Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-02-10,51.8368,52.6737,51.8368,51.8368,129993.62618824
1998-02-11,51.8798,52.6737,51.8368,52.6737,299028.4437564
1998-02-12,52.6737,53.1757,52.5067,53.1757,35478.900184286
1998-02-13,52.3397,52.3397,51.8368,51.8368,43055.519526831
1998-02-16,51.8368,53.1757,51.8368,51.8368,631088.58765337
1998-02-17,52.0057,52.0057,51.8368,51.8368,169962.89343272
1998-02-18,52.0057,52.6737,51.8368,52.6737,208104.0112371
1998-02-19,53.1757,53.1757,51.8368,51.8368,539415.09390287
1998-02-20,51.8368,52.6737,51.5028,51.5028,75051.134973777
1998-02-23,52.6737,52.6737,51.5028,51.5028,76546.257190924
1998-02-24,51.5028,52.1717,50.8348,50.8348,221552.11053742
1998-02-25,51.3378,52.1717,51.0018,51.0018,56216.595364727
1998-02-26,51.8368,52.1717,51.0018,52.1717,521456.62590735
1998-02-27,52.1717,52.1717,51.0018,52.1717,19224.571491784
1998-03-02,52.1717,52.1717,51.0018,51.1698,114655.37237929
1998-03-03,51.2328,52.1717,51.0018,51.1698,164851.4756054
1998-03-04,51.3378,53.5096,51.3378,52.3397,3480532.5123621
1998-03-05,52.8417,54.3466,52.6737,52.8007,231150.89517968
1998-03-06,52.9237,54.3466,52.6737,54.3466,47593.890511054
1998-03-09,52.8417,54.3466,52.6737,54.3466,176429.4220321
1998-03-10,52.9237,54.3466,52.9237,53.8456,1303344.5404884
1998-03-11,53.9076,54.3466,53.8456,53.8456,756484.8380341
1998-03-12,53.9636,54.3466,53.8456,53.8456,193010.77745705
1998-03-13,53.9286,54.3466,53.9236,54.3466,197980.18367578
1998-03-16,54.3466,54.3466,53.8456,53.8456,436542.68470915
1998-03-18,54.3466,55.1845,54.3466,54.3466,101666.31060249
1998-03-19,54.3466,54.3466,53.8456,53.8456,26483.164837639
1998-03-20,54.3466,54.3466,53.8456,53.8456,65326.340030943
1998-03-23,54.8505,54.8505,54.3466,54.8505,2311277.9329124
1998-03-24,54.8505,55.1845,53.8456,55.1845,4081886.6694067
1998-03-25,54.8505,54.8505,54.3466,54.3466,19643.605745285
1998-03-26,54.3466,54.5155,54.0146,54.0146,449457.7404364
1998-03-27,54.3466,54.3466,54.3466,54.3466,10465.855520029
1998-03-30,54.3466,54.8505,54.3466,54.8505,145695.90975441
1998-03-31,54.3466,54.8505,54.3466,54.3466,442813.19728542
1998-04-01,53.1757,54.3466,53.1757,54.3466,12879.052784227
1998-04-02,54.0146,54.0146,51.8368,51.8368,325869.63786076
1998-04-03,51.8368,52.5067,50.1679,50.1679,136977.19705268
1998-04-07,50.1679,51.0018,49.8339,51.0018,315260.77065039
1998-04-08,49.8339,49.8339,49.332,49.332,623118.93618284
1998-04-09,49.8339,50.1679,49.6669,49.6669,913446.66870902
1998-04-14,50.5019,50.5019,50.1679,50.1679,51104.17745566
1998-04-15,49.8339,49.8339,49.332,49.332,1451935.6869108
1998-04-16,51.0018,51.0018,49.6669,50.8348,2075607.6683018
1998-04-17,50.8348,50.8348,50.6699,50.6699,2326563.1823886
1998-04-20,51.0018,51.3378,49.6669,51.0018,4104005.4774847
1998-04-21,51.3378,52.6737,51.3378,52.1717,624165.02169397
1998-04-22,52.0057,53.5096,52.0057,53.5096,165514.52980605
1998-04-23,54.0146,55.5205,54.0146,54.3466,505313.30628916
1998-04-24,55.5205,55.5205,54.1806,55.3535,87016.113037955
1998-04-27,55.5205,55.5205,54.0146,54.0146,11300.92378178
1998-04-28,55.6834,55.6834,54.1806,55.1845,187155.29880728
1998-04-29,54.8505,55.1845,54.8505,55.1845,53821.39957204
1998-04-30,55.1845,55.1845,54.3466,54.3466,32291.639645123
1998-05-01,54.3466,55.1845,54.3466,54.3466,108005.82881955
1998-05-05,55.1845,55.1845,54.4306,54.4306,316885.90349512
1998-05-06,54.0146,54.0146,54.0146,54.0146,39466.226123928
1998-05-07,55.5205,55.5205,54.1806,54.1806,16831.375862598
1998-05-08,55.5205,55.5205,54.0146,55.5205,141039.52912362
1998-05-11,54.3466,55.1845,54.3466,54.6825,404250.04498228
1998-05-12,54.5155,54.6825,53.8456,53.8456,792626.79241904
1998-05-13,55.1845,55.1845,55.1845,55.1845,5261.4300899066
1998-05-14,53.8456,53.8456,53.8456,53.8456,9688.7919998128
1998-05-15,53.8456,53.8456,53.8456,53.8456,5980.488868588
1998-05-18,54.5155,54.5155,53.1737,53.1737,3438514.0776107
1998-05-19,54.8505,55.1845,52.5067,55.1845,334247.32268553
1998-05-20,54.0146,54.0146,54.0146,54.0146,2988.2442707928
1998-05-21,53.8456,54.1806,53.0087,54.1806,47540.886178272
1998-05-26,51.0018,51.0018,51.0018,51.0018,299000.44146739
1998-05-27,52.6737,52.6737,49.331,49.332,1221741.8699665
1998-05-28,50.1679,50.6699,50.1679,50.6699,66677.450476003
1998-05-29,51.0018,51.0018,50.1679,50.5019,48425.958527553
1998-06-01,50.1679,50.1679,49.6669,49.6669,112394.18754118
1998-06-02,49.6669,49.6669,48.495,48.495,80831.607492245
1998-06-03,49.6669,49.6669,47.9931,47.9931,29685.42660306
1998-06-04,49.6669,49.6669,47.9931,47.9931,25486.08333229
1998-06-05,49.6669,49.6669,48.495,49.6669,82973.78260203
1998-06-08,48.495,48.495,48.495,48.495,59799.888277127
1998-06-09,49.6669,49.6669,49.499,49.499,4783.3910131198
1998-06-10,48.495,48.495,48.495,48.495,64147.243646985
1998-06-11,47.9931,47.9931,47.9931,47.9931,21826.784206845
1998-06-12,47.9931,48.829,47.9931,48.829,1327862.5446862
1998-06-15,48.829,48.829,48.495,48.495,333363.250418
1998-06-16,48.328,48.328,48.1591,48.1591,41860.421834864
1998-06-17,48.1591,48.1591,48.1591,48.1591,106502.7059484
1998-06-18,47.8251,47.9931,46.8222,46.8222,244582.99317199
1998-06-19,47.3251,47.9931,47.3251,47.9931,15321.252419192
1998-06-22,46.6562,46.8222,45.1513,45.1513,947832.4795399
1998-06-23,45.1513,46.4872,45.1513,45.1513,177929.544658
1998-06-24,44.3154,44.3154,44.3154,44.3154,299000.44146739
