Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-06-06,3083.42,3150.39,3071.49,3150.39,9090147.2545592
2018-06-07,3156,3184.76,3120.95,3120.95,7095801.9118361
2018-06-08,3089.38,3135.68,3071.84,3099.89,6512249.8957616
2018-06-11,3099.19,3136.71,3068.32,3099.19,6243939.9193228
2018-06-12,3085.87,3100.24,3065.52,3075,5574874.7187395
2018-06-13,3061.33,3092.52,3037.83,3083.78,7988424.5785928
2018-06-14,3054.66,3097.44,3028.02,3087.29,5741817.1726864
2018-06-15,3078.15,3092.52,2959.29,2959.29,15845477.467477
2018-06-18,2978.57,2993.64,2947.71,2986.29,4745738.4632019
2018-06-19,2910.54,2921.06,2872.31,2889.49,10844496.92825
2018-06-20,2914.05,2972.96,2890.55,2890.55,7551918.6175244
2018-06-21,2946.3,2946.3,2874.4,2877.22,4837901.2199046
2018-06-22,2904.23,2948.41,2897.56,2932.98,5181154.1246281
2018-06-25,2911.94,2924.91,2830.58,2835.14,4641329.1930518
2018-06-26,2854.45,2889.85,2842.51,2879.69,5879858.3152927
2018-06-27,2903.52,2961.39,2865.3,2936.14,7764633.7757397
2018-06-28,2920,2938.6,2897.56,2934.38,6816721.825784
2018-06-29,2990.83,3011.54,2937.54,2946.3,6876918.5037257
2018-07-02,2892.3,2895.8,2851.27,2851.27,9702311.7885951
2018-07-03,2847.41,2905.64,2825.32,2846.35,11820565.186336
2018-07-04,2838.66,2840.75,2771.31,2781.51,5330427.8647957
2018-07-05,2779.74,2845.32,2779.74,2831.65,4744849.0633019
2018-07-06,2840.75,2874.06,2806.75,2855.14,4806400.7681501
2018-07-09,2917.54,2935.79,2869.16,2918.24,5107838.2749841
2018-07-10,2928.43,2930.18,2887.39,2907.73,4640486.8790288
2018-07-11,2856.2,2862.85,2796.22,2820.77,7580465.2152579
2018-07-12,2840.41,2849.86,2791.31,2818.3,6633219.7920508
2018-07-13,2836.55,2850.92,2799.72,2833.04,4147268.5949213
2018-07-16,2831.3,2831.3,2780.44,2808.14,4064899.7006475
2018-07-17,2815.16,2864.6,2789.91,2856.2,4691564.5921129
2018-07-18,2850.92,2893.7,2836.89,2889.49,6114355.4002368
2018-07-19,2909.83,2909.83,2843.56,2855.14,7487022.7690519
2018-07-20,2847.41,2878.28,2827.07,2866.35,7708434.1655841
2018-07-23,2842.51,2866.35,2823.22,2849.86,4954840.5651173
2018-07-24,2878.98,3014.68,2878.98,2985.24,2729994.1588833
2018-07-25,2925.26,2941.03,2900.02,2924.21,9075801.7573477
2018-07-26,2927.02,2939.64,2896.16,2918.24,6669685.1879532
2018-07-27,2928.08,2971.56,2914.05,2918.96,4939082.4915939
2018-07-30,2892.3,2924.56,2875.11,2910.19,4690481.6169404
2018-07-31,2898.96,2975.06,2886.67,2943.15,5480011.3253991
2018-08-01,2907.03,2907.03,2803.23,2843.2,9937844.7628347
2018-08-02,2803.94,2803.94,2722.57,2740.82,13438870.158608
2018-08-03,2758.34,2804.99,2730.3,2799.72,9135917.866122
2018-08-06,2794.12,2795.86,2728.2,2751.34,9223006.857983
2018-08-07,2768.16,2833.38,2761.85,2778.68,7363659.8638551
2018-08-08,2769.91,2807.79,2753.78,2771.68,7753844.8317756
2018-08-09,2811.44,2822.23,2787,2790.6,6920402.8343689
2018-08-10,2761.83,2764.35,2726.97,2734.15,9239181.3799302
2018-08-13,2720.5,2766.16,2701.81,2748.89,4574048.7064943
2018-08-14,2758.96,2767.23,2689.58,2714.05,6356700.131358
2018-08-15,2708.63,2709.34,2610.86,2623.79,9871430.6564151
2018-08-16,2663.7,2688.5,2651.84,2652.57,6146091.2813766
2018-08-17,2652.92,2671.61,2630.63,2664.43,4944834.2930652
2018-08-20,2696.77,2719.06,2672.69,2672.69,7365336.1210785
2018-08-21,2681.68,2688.5,2624.88,2636.39,5283346.173145
2018-08-22,2634.94,2670.52,2614.81,2657.96,6989116.8242947
2018-08-23,2634.57,2653.63,2624.15,2632.43,5281689.7966253
2018-08-24,2638.54,2674.83,2634.57,2673.77,5790999.9408069
2018-08-28,2706.48,2734.15,2694.62,2709,7774966.5098727
2018-08-29,2701.45,2716.18,2670.89,2679.88,12486126.151313
2018-08-30,2661.91,2670.89,2630.63,2651.12,5045239.1709594
2018-08-31,2642.13,2651.12,2616.96,2630.63,6138022.8547538
2018-09-03,2616.96,2642.48,2616.96,2624.15,3353514.7601138
2018-09-04,2616.96,2631.35,2556.22,2569.52,5434870.6182362
2018-09-05,2546.87,2585.34,2538.6,2562.68,6840336.9626598
2018-09-06,2557.66,2594.69,2537.17,2548.33,7603363.6004495
2018-09-07,2565.56,2578.51,2511.28,2523.14,9577098.9316062
2018-09-10,2546.52,2546.52,2514.88,2527.46,6422968.7947351
2018-09-11,2523.5,2538.25,2487.92,2506.26,9049684.7908706
2018-09-12,2509.85,2552.98,2508.77,2541.12,13540679.241992
2018-09-13,2559.45,2586.4,2541.49,2559.45,5992275.3236018
2018-09-14,2584.62,2596.84,2573.84,2585.7,5128618.8420608
2018-09-17,2568.44,2600.8,2565.21,2591.8,4227411.8967393
2018-09-18,2599,2633.5,2587.13,2599.35,8229901.8832232
2018-09-19,2642.13,2689.94,2610.14,2676.28,9619921.9672649
2018-09-20,2730.56,2763.65,2711.51,2744.23,23191315.850041
2018-09-21,2807.49,2819.71,2787.36,2818.99,12042899.466059
2018-09-24,2797.42,2822.59,2774.06,2810.36,7180651.7086547
2018-09-25,2802.82,2854.22,2782.33,2844.87,6841826.9690806
2018-09-26,2833.38,2838.39,2788.43,2793.84,6334630.4576026
2018-09-27,2783.76,2799.57,2767.96,2787.71,5386131.5037129
2018-09-28,2790.96,2806.41,2760.74,2789.51,5545462.7872209
2018-10-01,2789.88,2798.15,2747.1,2762.91,5960171.1262681
2018-10-02,2759.33,2804.62,2742.06,2797.06,5587447.6942679
2018-10-03,2793.11,2832.3,2783.41,2816.48,6061752.104736
2018-10-04,2819.71,2844.16,2793.47,2804.98,5503555.3102829
2018-10-05,2787,2787.36,2672.69,2692.1,7428992.0414551
